day,date,opening_balance,confirmed_income,scheduled_income,recurring_fixed_expenses,variable_essential_spending,requested_purchase_payment,closing_balance,minimum_balance_to_keep,lowest_balance_so_far,lowest_date_so_far
15,2025-11-21,41220.29000000004,0.0,0.0,0.0,127.02,0.0,41093.27000000004,13100.0,41093.27000000004,2025-11-21
16,2025-11-22,41093.27000000004,0.0,0.0,0.0,127.02,0.0,40966.250000000044,13100.0,40966.250000000044,2025-11-22
17,2025-11-23,40966.250000000044,0.0,0.0,0.0,127.02,0.0,40839.23000000005,13100.0,40839.23000000005,2025-11-23
18,2025-11-24,40839.23000000005,0.0,0.0,0.0,127.02,0.0,40712.21000000005,13100.0,40712.21000000005,2025-11-24
19,2025-11-25,40712.21000000005,0.0,0.0,0.0,127.02,0.0,40585.19000000005,13100.0,40585.19000000005,2025-11-25
20,2025-11-26,40585.19000000005,0.0,0.0,0.0,127.02,0.0,40458.17000000006,13100.0,40458.17000000006,2025-11-26
21,2025-11-27,40458.17000000006,0.0,0.0,0.0,127.02,0.0,40331.15000000006,13100.0,40331.15000000006,2025-11-27
22,2025-11-28,40331.15000000006,0.0,0.0,0.0,127.02,0.0,40204.13000000006,13100.0,40204.13000000006,2025-11-28
23,2025-11-29,40204.13000000006,0.0,0.0,0.0,127.02,0.0,40077.110000000066,13100.0,40077.110000000066,2025-11-29
24,2025-11-30,40077.110000000066,0.0,0.0,0.0,127.02,0.0,39950.09000000007,13100.0,39950.09000000007,2025-11-30
25,2025-12-01,39950.09000000007,0.0,0.0,0.0,127.02,0.0,39823.07000000007,13100.0,39823.07000000007,2025-12-01
26,2025-12-02,39823.07000000007,0.0,0.0,4972.0,127.02,0.0,34724.050000000076,13100.0,34724.050000000076,2025-12-02
27,2025-12-03,34724.050000000076,0.0,0.0,0.0,127.02,0.0,34597.03000000008,13100.0,34597.03000000008,2025-12-03
28,2025-12-04,34597.03000000008,0.0,0.0,0.0,127.02,0.0,34470.01000000008,13100.0,34470.01000000008,2025-12-04
29,2025-12-05,34470.01000000008,0.0,0.0,0.0,127.02,0.0,34342.990000000085,13100.0,34342.990000000085,2025-12-05
30,2025-12-06,34342.990000000085,0.0,0.0,706.37,127.02,0.0,33509.600000000086,13100.0,33509.600000000086,2025-12-06
31,2025-12-07,33509.600000000086,0.0,0.0,0.0,127.02,0.0,33382.58000000009,13100.0,33382.58000000009,2025-12-07
32,2025-12-08,33382.58000000009,0.0,0.0,0.0,127.02,0.0,33255.56000000009,13100.0,33255.56000000009,2025-12-08
33,2025-12-09,33255.56000000009,0.0,0.0,0.0,127.02,0.0,33128.540000000095,13100.0,33128.540000000095,2025-12-09
34,2025-12-10,33128.540000000095,0.0,0.0,721.44,127.02,0.0,32280.080000000096,13100.0,32280.080000000096,2025-12-10
35,2025-12-11,32280.080000000096,0.0,0.0,968.0,127.02,0.0,31185.060000000096,13100.0,31185.060000000096,2025-12-11
36,2025-12-12,31185.060000000096,0.0,0.0,113.3,127.02,0.0,30944.740000000096,13100.0,30944.740000000096,2025-12-12
37,2025-12-13,30944.740000000096,0.0,0.0,840.4,127.02,0.0,29977.320000000094,13100.0,29977.320000000094,2025-12-13
38,2025-12-14,29977.320000000094,0.0,0.0,0.0,127.02,0.0,29850.300000000094,13100.0,29850.300000000094,2025-12-14
39,2025-12-15,29850.300000000094,0.0,0.0,0.0,127.02,0.0,29723.280000000093,13100.0,29723.280000000093,2025-12-15
40,2025-12-16,29723.280000000093,0.0,0.0,0.0,127.02,0.0,29596.260000000093,13100.0,29596.260000000093,2025-12-16
41,2025-12-17,29596.260000000093,0.0,0.0,0.0,127.02,0.0,29469.240000000093,13100.0,29469.240000000093,2025-12-17
42,2025-12-18,29469.240000000093,0.0,0.0,0.0,127.02,0.0,29342.220000000092,13100.0,29342.220000000092,2025-12-18
43,2025-12-19,29342.220000000092,0.0,0.0,0.0,127.02,0.0,29215.20000000009,13100.0,29215.20000000009,2025-12-19
44,2025-12-20,29215.20000000009,0.0,0.0,0.0,127.02,0.0,29088.18000000009,13100.0,29088.18000000009,2025-12-20
45,2025-12-21,29088.18000000009,0.0,0.0,0.0,127.02,0.0,28961.16000000009,13100.0,28961.16000000009,2025-12-21
46,2025-12-22,28961.16000000009,0.0,0.0,0.0,127.02,0.0,28834.14000000009,13100.0,28834.14000000009,2025-12-22
47,2025-12-23,28834.14000000009,0.0,0.0,0.0,127.02,0.0,28707.12000000009,13100.0,28707.12000000009,2025-12-23
48,2025-12-24,28707.12000000009,0.0,0.0,0.0,127.02,0.0,28580.10000000009,13100.0,28580.10000000009,2025-12-24
49,2025-12-25,28580.10000000009,0.0,0.0,0.0,127.02,0.0,28453.08000000009,13100.0,28453.08000000009,2025-12-25
50,2025-12-26,28453.08000000009,0.0,0.0,0.0,127.02,0.0,28326.06000000009,13100.0,28326.06000000009,2025-12-26
51,2025-12-27,28326.06000000009,0.0,0.0,0.0,127.02,0.0,28199.04000000009,13100.0,28199.04000000009,2025-12-27
52,2025-12-28,28199.04000000009,0.0,0.0,0.0,127.02,0.0,28072.020000000088,13100.0,28072.020000000088,2025-12-28
53,2025-12-29,28072.020000000088,0.0,0.0,0.0,127.02,0.0,27945.000000000087,13100.0,27945.000000000087,2025-12-29
54,2025-12-30,27945.000000000087,0.0,0.0,0.0,127.02,0.0,27817.980000000087,13100.0,27817.980000000087,2025-12-30
55,2025-12-31,27817.980000000087,0.0,0.0,0.0,127.02,0.0,27690.960000000086,13100.0,27690.960000000086,2025-12-31
56,2026-01-01,27690.960000000086,0.0,0.0,0.0,127.02,0.0,27563.940000000086,13100.0,27563.940000000086,2026-01-01
57,2026-01-02,27563.940000000086,0.0,0.0,4972.0,127.02,0.0,22464.920000000086,13100.0,22464.920000000086,2026-01-02
58,2026-01-03,22464.920000000086,0.0,0.0,0.0,127.02,0.0,22337.900000000085,13100.0,22337.900000000085,2026-01-03
59,2026-01-04,22337.900000000085,0.0,0.0,0.0,127.02,0.0,22210.880000000085,13100.0,22210.880000000085,2026-01-04
60,2026-01-05,22210.880000000085,0.0,0.0,0.0,127.02,0.0,22083.860000000084,13100.0,22083.860000000084,2026-01-05
61,2026-01-06,22083.860000000084,0.0,0.0,706.37,127.02,0.0,21250.470000000085,13100.0,21250.470000000085,2026-01-06
62,2026-01-07,21250.470000000085,0.0,0.0,0.0,127.02,0.0,21123.450000000084,13100.0,21123.450000000084,2026-01-07
63,2026-01-08,21123.450000000084,0.0,0.0,0.0,127.02,0.0,20996.430000000084,13100.0,20996.430000000084,2026-01-08
64,2026-01-09,20996.430000000084,0.0,0.0,0.0,127.02,0.0,20869.410000000084,13100.0,20869.410000000084,2026-01-09
65,2026-01-10,20869.410000000084,0.0,0.0,721.44,127.02,0.0,20020.950000000084,13100.0,20020.950000000084,2026-01-10
66,2026-01-11,20020.950000000084,0.0,0.0,968.0,127.02,0.0,18925.930000000084,13100.0,18925.930000000084,2026-01-11
67,2026-01-12,18925.930000000084,0.0,0.0,113.3,127.02,0.0,18685.610000000084,13100.0,18685.610000000084,2026-01-12
68,2026-01-13,18685.610000000084,0.0,0.0,840.4,127.02,0.0,17718.190000000082,13100.0,17718.190000000082,2026-01-13
69,2026-01-14,17718.190000000082,0.0,0.0,0.0,127.02,0.0,17591.170000000082,13100.0,17591.170000000082,2026-01-14
70,2026-01-15,17591.170000000082,0.0,0.0,0.0,127.02,0.0,17464.15000000008,13100.0,17464.15000000008,2026-01-15
71,2026-01-16,17464.15000000008,0.0,0.0,0.0,127.02,0.0,17337.13000000008,13100.0,17337.13000000008,2026-01-16
72,2026-01-17,17337.13000000008,0.0,0.0,0.0,127.02,0.0,17210.11000000008,13100.0,17210.11000000008,2026-01-17
73,2026-01-18,17210.11000000008,0.0,0.0,0.0,127.02,0.0,17083.09000000008,13100.0,17083.09000000008,2026-01-18
74,2026-01-19,17083.09000000008,0.0,0.0,0.0,127.02,0.0,16956.07000000008,13100.0,16956.07000000008,2026-01-19
75,2026-01-20,16956.07000000008,0.0,0.0,0.0,127.02,0.0,16829.05000000008,13100.0,16829.05000000008,2026-01-20
76,2026-01-21,16829.05000000008,0.0,0.0,0.0,127.02,0.0,16702.03000000008,13100.0,16702.03000000008,2026-01-21
77,2026-01-22,16702.03000000008,0.0,0.0,0.0,127.02,0.0,16575.01000000008,13100.0,16575.01000000008,2026-01-22
78,2026-01-23,16575.01000000008,0.0,0.0,0.0,127.02,0.0,16447.990000000078,13100.0,16447.990000000078,2026-01-23
79,2026-01-24,16447.990000000078,0.0,0.0,0.0,127.02,0.0,16320.970000000078,13100.0,16320.970000000078,2026-01-24
80,2026-01-25,16320.970000000078,0.0,0.0,0.0,127.02,0.0,16193.950000000077,13100.0,16193.950000000077,2026-01-25
81,2026-01-26,16193.950000000077,0.0,0.0,0.0,127.02,0.0,16066.930000000077,13100.0,16066.930000000077,2026-01-26
82,2026-01-27,16066.930000000077,0.0,0.0,0.0,127.02,0.0,15939.910000000076,13100.0,15939.910000000076,2026-01-27
83,2026-01-28,15939.910000000076,0.0,0.0,0.0,127.02,0.0,15812.890000000076,13100.0,15812.890000000076,2026-01-28
84,2026-01-29,15812.890000000076,0.0,0.0,0.0,127.02,0.0,15685.870000000075,13100.0,15685.870000000075,2026-01-29
85,2026-01-30,15685.870000000075,0.0,0.0,0.0,127.02,0.0,15558.850000000075,13100.0,15558.850000000075,2026-01-30
86,2026-01-31,15558.850000000075,0.0,0.0,0.0,127.02,0.0,15431.830000000075,13100.0,15431.830000000075,2026-01-31
87,2026-02-01,15431.830000000075,0.0,0.0,0.0,127.02,0.0,15304.810000000074,13100.0,15304.810000000074,2026-02-01
88,2026-02-02,15304.810000000074,0.0,0.0,4972.0,127.02,0.0,10205.790000000074,13100.0,10205.790000000074,2026-02-02
89,2026-02-03,10205.790000000074,0.0,0.0,0.0,127.02,0.0,10078.770000000073,13100.0,10078.770000000073,2026-02-03
